"date","female_employment","imputed"
2016-12-01,71270,FALSE
2017-01-01,71205,FALSE
2017-02-01,71454,FALSE
2017-03-01,71943,FALSE
2017-04-01,71825,FALSE
2017-05-01,71773,FALSE
2017-06-01,71891,FALSE
2017-07-01,72240,FALSE
2017-08-01,72098,FALSE
2017-09-01,72367,FALSE
2017-10-01,72011,FALSE
2017-11-01,72248,FALSE
2017-12-01,72105,FALSE
2018-01-01,72206,FALSE
2018-02-01,72605,FALSE
2018-03-01,72586,FALSE
2018-04-01,72640,FALSE
2018-05-01,72842,FALSE
2018-06-01,73093,FALSE
2018-07-01,73415,FALSE
2018-08-01,72926,FALSE
2018-09-01,73372,FALSE
2018-10-01,73582,FALSE
2018-11-01,73625,FALSE
2018-12-01,73840,FALSE
2019-01-01,73589,FALSE
2019-02-01,73905,FALSE
2019-03-01,73722,FALSE
2019-04-01,73639,FALSE
2019-05-01,73533,FALSE
2019-06-01,73728,FALSE
2019-07-01,73787,FALSE
2019-08-01,74156,FALSE
2019-09-01,74584,FALSE
2019-10-01,74808,FALSE
2019-11-01,74608,FALSE
2019-12-01,74845,FALSE
2020-01-01,74707,FALSE
2020-02-01,75003,FALSE
2020-03-01,73235,FALSE
2020-04-01,61374,FALSE
2020-05-01,63389,FALSE
2020-06-01,66517,FALSE
2020-07-01,67333,FALSE
2020-08-01,68877,FALSE
2020-09-01,68943,FALSE
2020-10-01,70344,FALSE
2020-11-01,70609,FALSE
2020-12-01,70518,FALSE
2021-01-01,70217,FALSE
2021-02-01,70712,FALSE
2021-03-01,71181,FALSE
2021-04-01,71058,FALSE
2021-05-01,71290,FALSE
2021-06-01,71401,FALSE
2021-07-01,71883,FALSE
2021-08-01,71963,FALSE
2021-09-01,72267,FALSE
2021-10-01,72499,FALSE
2021-11-01,72995,FALSE
2021-12-01,73540,FALSE
2022-01-01,73635,FALSE
2022-02-01,73524,FALSE
2022-03-01,74069,FALSE
2022-04-01,73921,FALSE
2022-05-01,74168,FALSE
2022-06-01,74103,FALSE
2022-07-01,74340,FALSE
2022-08-01,74608,FALSE
2022-09-01,74288,FALSE
2022-10-01,74045,FALSE
2022-11-01,73975,FALSE
2022-12-01,74409,FALSE
2023-01-01,74968,FALSE
2023-02-01,75095,FALSE
2023-03-01,75183,FALSE
2023-04-01,75381,FALSE
2023-05-01,75312,FALSE
2023-06-01,75531,FALSE
2023-07-01,75772,FALSE
2023-08-01,76002,FALSE
2023-09-01,75884,FALSE
2023-10-01,75984,FALSE
2023-11-01,75907,FALSE
2023-12-01,75394,FALSE
2024-01-01,76096,FALSE
2024-02-01,75965,FALSE
2024-03-01,75965,FALSE
2024-04-01,76239,FALSE
2024-05-01,76201,FALSE
2024-06-01,75709,FALSE
2024-07-01,75903,FALSE
2024-08-01,76396,FALSE
2024-09-01,76251,FALSE
2024-10-01,75854,FALSE
2024-11-01,75830,FALSE
2024-12-01,75993,FALSE
2025-01-01,77131,FALSE
2025-02-01,77068,FALSE
2025-03-01,77052,FALSE
2025-04-01,77208,FALSE
